Order Date,Product,Category,Region,Quantity,Unit Price,Revenue,Cost
2024-01-01,Water Bottle,Home & Kitchen,North,1,10.25,10.25,6.64
2024-01-01,Sticky Notes,Stationery,North,7,5.02,35.14,21.51
2024-01-01,Water Bottle,Home & Kitchen,Central,7,8.14,56.98,37.67
2024-01-01,Notebook Set,Stationery,East,5,6.38,31.9,16.57
2024-01-01,Desk Lamp,Furniture,Central,5,271.62,1358.1,781.87
2024-01-01,Sticky Notes,Stationery,East,6,2.6,15.6,8.7
2024-01-01,Mechanical Keyboard,Electronics,South,2,54.91,109.82,62.71
2024-01-01,Water Bottle,Home & Kitchen,East,2,11.59,23.18,13.35
2024-01-01,Water Bottle,Home & Kitchen,Central,4,13.04,52.16,26.41
2024-01-01,Desk Lamp,Furniture,West,5,324.81,1624.05,881.09
2024-01-01,Ballpoint Pens (Pack),Stationery,West,8,11.68,93.44,60.68
2024-01-02,Notebook Set,Stationery,Central,7,3.8,26.6,17.32
2024-01-02,Mechanical Keyboard,Electronics,South,3,98.17,294.51,205.93
2024-01-02,Sticky Notes,Stationery,East,1,13.5,13.5,8.83
2024-01-02,Desk Lamp,Furniture,North,5,191.58,957.9,529.41
2024-01-02,Sticky Notes,Stationery,South,2,10.31,20.62,10.94
2024-01-02,USB-C Hub,Electronics,Central,1,77.89,77.89,54.29
2024-01-02,Standing Desk,Furniture,South,1,224.53,224.53,148.91
2024-01-02,Sticky Notes,Stationery,South,3,4.15,12.45,7.74
2024-01-02,Office Chair,Furniture,Central,4,175.71,702.84,477.88
2024-01-02,Ballpoint Pens (Pack),Stationery,North,4,9.65,38.6,21.0
2024-01-02,Mechanical Keyboard,Electronics,North,4,22.08,88.32,49.08
2024-01-02,Ballpoint Pens (Pack),Stationery,South,3,9.49,28.47,16.93
2024-01-02,Notebook Set,Stationery,South,2,7.51,15.02,9.7
2024-01-02,Water Bottle,Home & Kitchen,North,1,13.47,13.47,7.25
2024-01-03,Ballpoint Pens (Pack),Stationery,South,7,13.37,93.59,61.92
2024-01-03,Sticky Notes,Stationery,North,1,2.19,2.19,1.43
2024-01-03,Office Chair,Furniture,South,7,121.99,853.93,491.69
2024-01-03,Notebook Set,Stationery,East,8,11.5,92.0,58.18
2024-01-03,Ballpoint Pens (Pack),Stationery,South,4,9.53,38.12,24.76
2024-01-03,Wireless Mouse,Electronics,North,8,67.8,542.4,279.89
2024-01-03,USB-C Hub,Electronics,North,2,85.9,171.8,94.36
2024-01-03,Coffee Mug,Home & Kitchen,North,2,28.56,57.12,30.89
