OrderID,Date,DayOfWeek,Time,Category,Line item name,Quantity,Price Per Item,Gross Sales,Est. Cost,Est. Profit,OrderType,Payment,Cancelled
RES_ORD_931.0,03/01/2023,Tuesday,18:50,APETISERS,Chicken Suya,2,3.5,7,2.45,4.55,Delivery,Card,No
RES_ORD_930.0,03/01/2023,Tuesday,18:32,MAIN COURSES,Boiled Rice with Designer Stew - Ayamase,1,8,8,2.8,5.2,Delivery,Card,No
RES_ORD_928.0,03/01/2023,Tuesday,18:08,MAIN COURSES,Fried Rice,1,7.5,7.5,2.62,4.88,Delivery,Card,No
RES_ORD_929.0,03/01/2023,Tuesday,18:08,MAIN COURSES,Jolof,1,8.5,8.5,2.97,5.53,Delivery,Card,No
RES_ORD_927.0,03/01/2023,Tuesday,17:21,MAIN COURSES,Jolof with Chicken,1,7,7,2.45,4.55,Collection,Card,No
RES_ORD_931.0,03/01/2023,Tuesday,18:50,MAIN COURSES,Jolof with Fish,1,8.5,8.5,2.97,5.53,Delivery,Card,No
RES_ORD_930.0,03/01/2023,Tuesday,18:32,SPECIAL ORDERS,Beans,1,6.5,6.5,2.27,4.23,Delivery,Card,No
RES_ORD_928.0,03/01/2023,Tuesday,18:08,EXTRAS,Coleslaw,1,1,1,0.35,0.65,Delivery,Card,No
RES_ORD_929.0,03/01/2023,Tuesday,18:08,EXTRAS,Fried Fish,2,2.5,5,1.75,3.25,Delivery,Card,No
RES_ORD_927.0,03/01/2023,Tuesday,17:21,EXTRAS,Fried Plantain - Dodo,1,2,2,0.7,1.3,Collection,Card,No
RES_ORD_931.0,03/01/2023,Tuesday,18:50,EXTRAS,Pounded Yam,1,3.5,3.5,1.22,2.28,Delivery,Card,No
RES_ORD_930.0,03/01/2023,Tuesday,18:32,SOUPS,Efo Riro,4,8.12,32.5,11.38,21.12,Delivery,Card,No
RES_ORD_928.0,03/01/2023,Tuesday,18:08,SOUPS,Egusi (Melon Soup),3,8.5,25.5,8.92,16.58,Delivery,Card,No
RES_ORD_929.0,03/01/2023,Tuesday,18:08,SOUPS,Ogbono,1,8.5,8.5,2.97,5.53,Delivery,Card,No
RES_ORD_927.0,03/01/2023,Tuesday,17:21,SOUPS,Okro,1,8.5,8.5,2.97,5.53,Collection,Card,No
RES_ORD_933.0,04/01/2023,Wednesday,17:19,APETISERS,Patty,5,2,10,3.5,6.5,Delivery,Card,No
RES_ORD_932.0,04/01/2023,Wednesday,16:13,MAIN COURSES,Boiled Rice with Designer Stew - Ayamase,1,8,8,2.8,5.2,Delivery,Card,No
RES_ORD_936.0,04/01/2023,Wednesday,18:02,MAIN COURSES,Fried Rice,1,7.5,7.5,2.62,4.88,Collection,Card,No
RES_ORD_935.0,04/01/2023,Wednesday,17:26,MAIN COURSES,Jolof with Beef,1,7,7,2.45,4.55,Collection,Card,No
RES_ORD_933.0,04/01/2023,Wednesday,17:19,MAIN COURSES,Jolof with Fish,1,8.5,8.5,2.97,5.53,Delivery,Card,No
RES_ORD_932.0,04/01/2023,Wednesday,16:13,EXTRAS,Assorted Meat,2,2,4,1.4,2.6,Delivery,Card,No
RES_ORD_936.0,04/01/2023,Wednesday,18:02,EXTRAS,Plain Jolof,3,4.5,13.5,4.72,8.78,Collection,Card,No
RES_ORD_935.0,04/01/2023,Wednesday,17:26,EXTRAS,Pounded Yam,2,3.5,7,2.45,4.55,Collection,Card,No
RES_ORD_933.0,04/01/2023,Wednesday,17:19,DRINKS,Malta Guinness,1,2,2,0.7,1.3,Delivery,Card,No
RES_ORD_932.0,04/01/2023,Wednesday,16:13,DRINKS,Maltina,2,2,4,1.4,2.6,Delivery,Card,No
RES_ORD_936.0,04/01/2023,Wednesday,18:02,SOUPS,Egusi (Melon Soup),1,7,7,2.45,4.55,Collection,Card,No
RES_ORD_941.0,05/01/2023,Thursday,18:06,MAIN COURSES,Jolof with Beef,4,7,28,9.8,18.2,Collection,Card,No
RES_ORD_940.0,05/01/2023,Thursday,17:26,MAIN COURSES,Jolof with Chicken,1,7,7,2.45,4.55,Delivery,Card,No
RES_ORD_939.0,05/01/2023,Thursday,16:43,MAIN COURSES,Jolof with Fish,1,8.5,8.5,2.97,5.53,Delivery,Card,No
RES_ORD_945.0,05/01/2023,Thursday,19:48,EXTRAS,Fried Plantain - Dodo,2,2,4,1.4,2.6,Delivery,Card,No
RES_ORD_943.0,05/01/2023,Thursday,18:16,EXTRAS,Pounded Yam,3,3.5,10.5,3.67,6.83,Collection,Card,No
RES_ORD_941.0,05/01/2023,Thursday,18:06,SOUPS,Efo Riro,1,7.5,7.5,2.62,4.88,Collection,Card,No
RES_ORD_940.0,05/01/2023,Thursday,17:26,SOUPS,Egusi (Melon Soup),2,7.5,15,5.25,9.75,Delivery,Card,No
RES_ORD_939.0,05/01/2023,Thursday,16:43,SOUPS,Okro,1,8.5,8.5,2.97,5.53,Delivery,Card,No
RES_ORD_954.0,06/01/2023,Friday,19:26,APETISERS,Plantain Chips,1,0.75,0.75,0.26,0.49,Collection,Card,No
RES_ORD_952.0,06/01/2023,Friday,19:01,MAIN COURSES,Jolof,1,8.5,8.5,2.97,5.53,Delivery,Card,No
RES_ORD_951.0,06/01/2023,Friday,19:29,MAIN COURSES,Jolof with Curry Goat,1,8,8,2.8,5.2,Delivery,Card,No
RES_ORD_954.0,06/01/2023,Friday,19:26,EXTRAS,Assorted Meat,1,2,2,0.7,1.3,Collection,Card,No
RES_ORD_952.0,06/01/2023,Friday,19:01,EXTRAS,Beef Stew,1,8,8,2.8,5.2,Delivery,Card,No
RES_ORD_951.0,06/01/2023,Friday,19:29,EXTRAS,Coleslaw,1,1,1,0.35,0.65,Delivery,Card,No
RES_ORD_954.0,06/01/2023,Friday,19:26,EXTRAS,Fried Plantain - Dodo,1,2,2,0.7,1.3,Collection,Card,No
RES_ORD_952.0,06/01/2023,Friday,19:01,EXTRAS,Moi Moi - Beans Pudding,1,2,2,0.7,1.3,Delivery,Card,No
RES_ORD_951.0,06/01/2023,Friday,19:29,EXTRAS,Pounded Yam,1,3.5,3.5,1.22,2.28,Delivery,Card,No
RES_ORD_958.0,07/01/2023,Saturday,17:33,APETISERS,Beef Suya,2,6.5,13,4.55,8.45,Delivery,Card,No
